City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
SolarisVille,Drone,Snowy,Stable,Sunday,20,29.4268,0,0,14.7134,0.5241
AquaCity,Flying Car,Solar Flare,Recession,Wednesday,2,118.8,0,0,143.5682,0.3208
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Wednesday,16,100.3904,0,0,91.264,0.0415
Ecoopolis,Drone,Clear,Booming,Thursday,8,76.8,1,0,46.0753,0.1811
AquaCity,Autonomous Vehicle,Solar Flare,Stable,Saturday,16,45.2176,0,0,40.1934,0.4544
TechHaven,Autonomous Vehicle,Snowy,Recession,Thursday,20,30.5179,0,0,37.5562,0.0843
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Monday,21,43.9222,0,0,39.042,0.0293
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Friday,20,20.4236,0,0,18.1543,0.1393
MetropolisX,Drone,Snowy,Recession,Saturday,7,69.9735,0,0,41.8502,0.1505
SolarisVille,Drone,Snowy,Booming,Saturday,15,37.9431,0,0,18.9715,0.2485
Neuroburg,Drone,Snowy,Stable,Saturday,13,29.5809,1,0,14.1535,0.0626
MetropolisX,Drone,Clear,Booming,Tuesday,7,40.4778,1,0,18.399,0.5179
TechHaven,Autonomous Vehicle,Clear,Recession,Sunday,7,87.8801,0,0,79.891,0.1248
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Recession,Sunday,10,60.0447,0,0,57.459,0.0342
Ecoopolis,Drone,Solar Flare,Booming,Monday,8,70.2698,1,0,35.1349,0.2389
Ecoopolis,Car,Rainy,Booming,Friday,9,66.8856,0,0,66.8856,0.2521
Neuroburg,Autonomous Vehicle,Snowy,Booming,Monday,21,126.7644,0,0,107.1712,0.0784
MetropolisX,Flying Car,Clear,Recession,Friday,21,87.0448,0,0,118.6975,0.1352
Ecoopolis,Drone,Solar Flare,Booming,Friday,3,62.3252,0,0,31.1626,0.2185
TechHaven,Autonomous Vehicle,Solar Flare,Stable,Wednesday,19,67.2491,0,0,56.607,0.1994
Ecoopolis,Autonomous Vehicle,Rainy,Stable,Saturday,1,69.0747,0,0,55.2598,0.2113
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,19,32.5679,0,0,26.0543,0.055
Ecoopolis,Car,Rainy,Recession,Thursday,5,94.7111,0,0,94.7111,0.0984
SolarisVille,Autonomous Vehicle,Snowy,Recession,Monday,10,118.7922,0,0,95.0338,0.0588
MetropolisX,Flying Car,Clear,Booming,Friday,12,114.4823,0,0,156.1122,0.4281
Neuroburg,Drone,Electromagnetic Storm,Recession,Thursday,23,89.2206,0,0,53.3616,0.0184
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Saturday,10,42.6291,0,0,34.1033,0.134
MetropolisX,Autonomous Vehicle,Clear,Recession,Wednesday,12,37.6441,0,0,34.2219,0.2449
Ecoopolis,Drone,Clear,Recession,Monday,13,93.2075,0,0,46.6037,0.0446
Ecoopolis,Autonomous Vehicle,Clear,Stable,Thursday,0,96,0,0,90.1531,0.2053
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Sunday,10,45.5341,0,0,36.4273,0.1085
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Wednesday,1,69.4651,0,0,63.1501,0.0219
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Thursday,2,22.7334,0,0,22.7334,0.1498
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Tuesday,13,55.0833,0,0,44.0666,0.157
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Tuesday,11,27.5094,0,1,22.0075,0.1949
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Thursday,20,70.3384,0,0,107.9196,0.6792
TechHaven,Autonomous Vehicle,Snowy,Stable,Friday,21,55.6397,0,0,49.2998,0.1642
AquaCity,Flying Car,Rainy,Booming,Monday,17,39.386,1,0,47.2632,0.5913
TechHaven,Drone,Clear,Stable,Thursday,17,45.6719,1,0,20.76,0.2946
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Wednesday,12,24.7208,0,0,23.6562,0.3319
Neuroburg,Autonomous Vehicle,Clear,Booming,Saturday,4,44.616,0,0,40.56,0.0803
TechHaven,Autonomous Vehicle,Clear,Recession,Thursday,23,57.7985,0,0,52.5441,0.0457
Ecoopolis,Autonomous Vehicle,Clear,Booming,Saturday,11,24.8612,0,0,19.8889,0.223
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Tuesday,12,87.8502,0,0,79.8638,0.2282
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Saturday,18,58.8387,0,0,47.071,0.2684
MetropolisX,Autonomous Vehicle,Snowy,Stable,Thursday,17,53.0764,1,0,40.6326,0.5668
SolarisVille,Autonomous Vehicle,Rainy,Recession,Thursday,15,30.3887,0,0,24.311,0.215
SolarisVille,Drone,Solar Flare,Stable,Thursday,3,66.6029,0,0,33.3014,0.1344
AquaCity,Flying Car,Snowy,Recession,Wednesday,18,68.7717,1,0,82.526,0.3613
Neuroburg,Autonomous Vehicle,Clear,Recession,Saturday,7,106.5692,0,0,96.8811,0.0514
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Thursday,6,64.5277,0,0,51.6222,0.1454
Neuroburg,Autonomous Vehicle,Clear,Stable,Tuesday,14,99.4133,0,0,90.3757,0.0841
Neuroburg,Autonomous Vehicle,Snowy,Stable,Friday,8,108.3456,1,0,99.5715,0.08
Neuroburg,Autonomous Vehicle,Snowy,Booming,Friday,16,83.9572,0,0,80.3418,0.0978
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,9,27.9911,0,0,26.7857,0.2355
TechHaven,Drone,Snowy,Booming,Saturday,10,64.514,0,1,38.5849,0.4095
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Wednesday,11,24.2928,0,0,19.4342,0.0246
SolarisVille,Car,Rainy,Recession,Wednesday,18,82.3866,1,0,82.3866,0.1821
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Monday,16,80.3199,0,0,64.2559,0.0854
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Tuesday,4,46.3866,0,0,37.1093,0.1823
SolarisVille,Autonomous Vehicle,Snowy,Booming,Monday,8,86.4,1,0,85.8516,0.3704
TechHaven,Drone,Solar Flare,Stable,Thursday,12,62.6841,0,0,49.4667,0.3329
TechHaven,Autonomous Vehicle,Rainy,Stable,Wednesday,4,66.4338,0,0,63.573,0.2647
Neuroburg,Drone,Solar Flare,Booming,Tuesday,9,67.1605,0,0,38.1594,0.0607
Ecoopolis,Flying Car,Snowy,Recession,Sunday,23,23.1912,0,0,27.8294,0.347
Ecoopolis,Drone,Snowy,Stable,Friday,5,44.7029,0,0,22.3514,0.2919
TechHaven,Autonomous Vehicle,Rainy,Recession,Sunday,23,38.838,0,0,37.1655,0.0602
TechHaven,Drone,Clear,Recession,Saturday,12,54.3648,1,0,24.7113,0.0336
AquaCity,Autonomous Vehicle,Snowy,Booming,Tuesday,20,18.6312,0,0,16.5611,0.5095
AquaCity,Autonomous Vehicle,Solar Flare,Stable,Monday,8,48.0126,1,0,42.6779,0.309
TechHaven,Drone,Electromagnetic Storm,Booming,Sunday,7,38.3157,0,0,35.8064,0.2612
TechHaven,Autonomous Vehicle,Rainy,Stable,Friday,8,81.722,1,0,62.5623,0.2463
MetropolisX,Flying Car,Rainy,Stable,Saturday,7,73.6459,0,0,105.7119,0.4964
SolarisVille,Flying Car,Electromagnetic Storm,Recession,Sunday,16,45.2959,0,0,60.3945,0.1352
MetropolisX,Autonomous Vehicle,Clear,Booming,Wednesday,10,65.7099,0,0,52.5679,0.8521
SolarisVille,Drone,Clear,Booming,Sunday,9,24.0919,0,0,12.046,1.0363
MetropolisX,Autonomous Vehicle,Clear,Booming,Sunday,9,17.663,0,0,19.6255,0.9877
Ecoopolis,Autonomous Vehicle,Clear,Booming,Friday,10,61.7505,0,0,49.4004,0.276
SolarisVille,Autonomous Vehicle,Solar Flare,Recession,Tuesday,14,126.1146,0,0,100.8917,0.0583
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Sunday,11,87.4272,0,0,79.4793,0.0484
AquaCity,Autonomous Vehicle,Snowy,Recession,Wednesday,2,83.3714,0,0,66.6971,0.1486
AquaCity,Flying Car,Rainy,Stable,Friday,4,16.9444,0,0,20.3333,0.7269
AquaCity,Autonomous Vehicle,Rainy,Recession,Tuesday,22,77.3975,0,0,61.918,0.1184
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Thursday,18,40.0824,1,0,35.6288,0.0858
MetropolisX,Drone,Snowy,Stable,Thursday,9,53.4655,0,0,31.977,0.5011
MetropolisX,Autonomous Vehicle,Clear,Booming,Tuesday,17,76.4268,1,0,67.935,1.3003
AquaCity,Autonomous Vehicle,Solar Flare,Recession,Saturday,18,53.7649,0,0,43.012,0.2456
SolarisVille,Car,Rainy,Recession,Tuesday,7,23.5902,1,0,23.5902,0.2398
MetropolisX,Flying Car,Snowy,Booming,Monday,11,97.8597,0,0,140.4684,0.4268
TechHaven,Autonomous Vehicle,Snowy,Recession,Thursday,23,82.4619,0,1,78.9109,0.1199
AquaCity,Flying Car,Rainy,Stable,Tuesday,0,15.485,0,0,18.582,0.6758
Neuroburg,Drone,Solar Flare,Booming,Saturday,2,49.4976,0,0,28.1237,0.1103
